userName,content,score,at,appVersion,sentiment,processed_content
Teguh Sutyono,Alhamdulillah perjalanan nyaman,5,2023-12-01 22:54:11,4.78.3,positive,alhamdulillah jalan nyaman
abdurrahman,Bikin seperti dulu lagi,5,2022-07-06 23:34:59,4.46.2,positive,bikin
Rifqi Candra Aditya,Kalau bisa diskon gofood nya diperbanyak lg,5,2022-09-04 05:39:13,4.48.1,positive,diskon gofood banyak
Muhamad Rafei Khampadi,Mantapppppppp,5,2022-02-05 10:33:14,4.36.1,positive,mantapppppppp
Ferry Nugraha,Nyesel ngga dri dlu pke gojek,5,2022-02-13 23:49:26,4.36.1,positive,nyesel dri dlu pke gojek
Suhartatik Ningsih,Ngojek emg siiip,5,2022-08-07 15:04:22,4.38.2,positive,ngojek siiip
Arip Baruu,Ok,4,2022-04-23 15:37:57,4.29.1,positive,ok
Abdu Rohim Hamdani,Keren,5,2022-10-22 23:18:15,4.53.1,positive,keren
Harinoto,Mantap,5,2022-09-14 15:40:35,4.47.1,positive,mantap
obus 14,Pajak playlater terlalu tinggi perbulannya lambat dikit di ancam,1,2022-05-20 01:40:01,4.43.3,negative,pajak playlater tinggi bulan lambat dikit ancam
Muhammad Yusuf,Mantap,5,2023-02-21 17:04:13,4.55.2,positive,mantap
Musa KM,Apk maling jembut asu balikin duit gua asu Bantuanan apa cs aja ga ada babi,1,2021-11-18 06:45:09,4.32.1,negative,apk maling jembut asu balikin duit gua asu bantuanan cs aja babi
BANU WIBOWO,Nice,4,2022-10-09 08:34:53,4.52.2,positive,nice
Yudhi Paparang,Bagus,5,2022-01-23 10:58:24,4.30.1,positive,bagus
Duddy Affandi,Segalanya jadi mudah,5,2022-12-15 16:36:21,4.57.1,positive,mudah
salahuddin 2410,Mantap,5,2022-07-11 09:57:48,4.46.2,positive,mantap
Fajar Ramadhan Febian,Kenapa akun saya tidak mendapat promo tidak ada promo resto tidak bisa reedem code Bot Customer service bilang ada aktivitas mencurigakan bisa sebutkan apa itu Padahal akun nya sudah premium dan tidak pernah di pakai aneh2 kalo terus begini saya merasa tdk ada manfaatnya instal aplikasi ini,1,2021-12-17 11:01:13,4.34.1,negative,akun promo promo resto reedem code bot customer service bilang aktivitas curiga sebut akun premium pakai aneh manfaat instal aplikasi
Donny DY,Kode otp saya kok tidak masuk terus padahal nomor benar dan sinyalnya juga bagus gimana nih,1,2021-11-12 00:46:26,4.31.1,negative,kode otp nomor sinyal bagus gimana nih
Supar Man (Suparman),Mantap ,5,2022-02-01 18:41:14,4.30.1,positive,mantap
Dewi Saleh,Ok,5,2022-11-06 23:04:17,4.49.2,positive,ok
Muhammad Jauhar Maknun,aplikasi yang mempermudah transaksi dll,4,2023-08-05 03:27:23,4.71.3,positive,aplikasi mudah transaksi dll
Yenykazi,Good Good,5,2022-07-16 15:21:48,4.47.1,positive,good good
Devita Sari,Suka bngt pake gojek atau gocardrivernya ramah sopan n wangipertahankan yaah,5,2023-01-21 09:58:55,4.59.1,positive,suka banget pake gojek gocardrivernya ramah sopan wangipertahankan yaah
Mustofah wawan setyo aji,Semakin ok,5,2023-01-21 16:58:33,4.59.1,positive,ok
Alyssa Ninda Irawati,Jangan kebanyakan update capek tiap mau pake kudu update di playstore dulu mana hpku memorinya penuh pula,1,2024-01-27 12:28:06,4.78.3,negative,banyak update capek pake kudu update playstore hpku memori penuh
R. Imalia Juwita,Layanan gosend sangat buruk s kali sy order gosend driver tdk datang2 tapi dana sy sdh 2x dipotong oleh gojek tolong kembalikan dana sy yg sdh dipotong oleh gojek,1,2023-04-12 08:12:27,4.65.2,negative,layan gosend buruk order gosend driver dana sdh potong gojek tolong kembali dana sdh potong gojek
Ade Konde D-Walker,Bermanfaat,5,2023-08-06 04:41:30,4.71.3,positive,manfaat
Ega Neistrina,Nyaman,4,2022-01-20 17:02:45,4.35.1,positive,nyaman
Nursyamsi Adam An-Nur,Keren,5,2021-12-14 18:53:45,4.11.1,positive,keren
SU35 RG5783DR (Starlight _R1 N CE), goshop in fitur pembayaran gopaylater biar lengkap ya ,5,2023-11-13 04:36:38,4.78.2,positive,goshop in fitur bayar gopaylater biar lengkap
Sugeng An,Tidak bisa memasukkan pin atau tidak ada indikator apapun sebagai tanda pin telah dimasukkan pada saat transfer ke bank dan transerpun gagal,1,2023-10-18 22:10:05,4.77.1,negative,masuk pin indikator apa tanda pin masuk transfer bank transerpun gagal
Putra kennedy112,Sekarang gk ada promo buat gorideharga mahal bangetlebih enak pakek maxim,1,2022-02-14 13:07:09,4.36.1,negative,promo gorideharga mahal bangetlebih pakek maxim
Mang Donal21,Aplikasi serakahmaruklobedoble order di bayar 2 rbumerugikan driver sma costumermungkin otaknya perlu di tmbah pkai otak iblis biar mkin mnjdi aplikator,1,2023-09-20 02:29:17,4.74.3,negative,aplikasi serakahmaruklobedoble order bayar rbumerugikan driver sma costumermungkin otak tmbah pkai otak iblis biar mkin mnjdi aplikator
Chandra Home,Semoga aja ada ciciln syariah,5,2023-09-25 07:38:56,4.58.1,positive,moga aja ciciln syariah
Aulia Rahmawati,Smoga promonya lebih banyak lagi,5,2021-12-09 03:03:26,4.33.1,positive,smoga promonya
Sugi Arti,Kenapa si gojek minta update lagi2 update,4,2022-05-24 01:23:38,4.43.3,positive,si gojek update update
Listina Susanti,Sering banget aplikasinya harus di perbaharui sementara sdh ga bisa buka apl lg,1,2022-03-02 05:00:29,4.25.2,negative,banget aplikasi baharu sdh buka apl
Saeful Jamil,gajelas bngt pin salah Mulu padahal udh benerdi ganti udh di coba mau isi kuota ga bisa ga jls bngt buang duit,1,2022-08-28 05:23:23,4.50.1,negative,gajelas banget pin salah mulu benerdi ganti coba isi kuota jls banget buang duit
Lanang Black,Terima kasih gojek sd meringankan transportasi untuk masyarakat bnyak untuk free atau diskon lebih diutamakan donk untuk menengah ke awan bisa menikmati terus transportasi gojeknya,5,2023-10-12 07:00:03,4.76.2,positive,terima kasih gojek sd ringan transportasi masyarakat bnyak free diskon utama donk tengah awan nikmat transportasi gojek
Pangkalan Bun,Selalu ada promo,5,2022-08-05 10:39:17,4.48.1,positive,promo
Rahmat Ismadi,Sangat membantu,5,2023-12-21 00:15:26,4.80.4,positive,bantu
Gus Hardi,Jos,5,2022-11-10 05:11:53,4.54.2,positive,jos
Yunita Embun,Tepat wktu byk promo,5,2022-06-06 08:27:39,4.43.1,positive,wktu byk promo
Rizal BF,Bgus,5,2022-12-09 05:54:09,4.57.1,positive,bgus
Iip Triyana,Proses masukan nomor baru dikarenakan nomor lama sudah tidak dipakai selalau maintenance keterangannya gangguan terus Di email tidak di balas balas Jadi males banget mau pake gojek,1,2021-11-08 08:18:15,4.31.1,negative,proses masuk nomor nomor pakai lalau maintenance terang ganggu email balas balas males banget pake gojek
Apri Ida,Oke banget,5,2022-01-07 23:09:28,4.34.1,positive,oke banget
Vito Direja,Jelek bgt aplikasinyaaaa  Terlalu lama nunggu udh dapet pengemudinyaaa malah lama bgt padahal jarak di maps deket dengan penjemputan ,1,2021-12-26 08:44:44,4.32.1,negative,jelek banget aplikasinyaaaa nunggu dapet pengemudinyaaa banget jarak maps deket jemput
Jonathan Kian,Mantap,5,2023-09-20 08:06:39,4.73.1,positive,mantap
Galih rotten,Ok,5,2021-11-30 11:48:22,4.30.1,positive,ok
Agus Supriadi,Sangat bagus,5,2021-12-11 17:55:30,4.33.1,positive,bagus
Teguh Priambodo,Saya masih pakai versi lama dan belum update Lancar jaya,4,2023-10-04 21:18:02,4.59.1,positive,pakai versi update lancar jaya
Allah Apikan,Muantaap,5,2021-11-18 18:43:12,4.14.2,positive,muantaap
Perdana Mandiri,Mantap,5,2022-12-09 07:51:53,4.55.2,positive,mantap
Sonny son's,Keren,5,2023-12-04 23:38:34,4.79.1,positive,keren
Novi Anggraini,Pengantarannya cepat dn tepat,4,2022-04-26 15:29:58,4.39.2,positive,antar cepat dn
Dimas Aka,Mantap,5,2023-10-07 10:39:31,4.75.1,positive,mantap
Saein Rompies,Keren,5,2023-03-15 12:48:48,4.63.2,positive,keren
Rerenovitasari Sari,Cot,5,2022-09-02 02:35:56,4.50.1,positive,cot
Leni Aja,Mantappp,5,2022-07-05 06:45:28,4.46.2,positive,mantappp
novianty aurel,Kenapa pesen Go food kalo lama dapet driber bukan nya otomatis cancel ajasih Nyusahin aja jadinya,1,2023-11-09 08:13:02,4.77.1,negative,sen go food dapet driber otomatis cancel ajasih nyusahin aja
Alex Saputra,Good map real tame,4,2023-09-30 10:17:36,4.74.2,positive,good map real tame
adinda ainuzzahroh,Lelet bgt,1,2022-10-07 09:58:36,4.53.1,negative,lelet banget
Paas Muri,Oke banget pelayanannya alias puas,5,2022-12-18 04:22:41,4.57.1,positive,oke banget layan alias puas
Khoirul Mahfud,Saldo gopay tiba di blokir secara sepihak dan banding pun di tolak Padahal saya tidak pernah melakukan aktivitas atau transaksi ilegal namun pihak gojek tidak memberi tahu alesan mengapa Saldo sy di blokir Sangat kecewa dg apk ini,1,2022-05-27 17:17:59,4.42.2,negative,saldo gopay blokir banding tolak aktivitas transaksi ilegal gojek alesan saldo blokir kecewa dg apk
Udin Trk,Oke,5,2022-04-15 02:24:37,4.40.1,positive,oke
Irul Bocah Jember # I.B.J#,Sangat membantu,5,2022-07-06 00:10:52,4.42.2,positive,bantu
Nanang Prastyawan,Okkee,5,2022-03-22 03:45:51,4.39.2,positive,okkee
Ir IRWANI HADY AS MM,GOOD JOB ,5,2022-01-03 02:43:24,4.32.1,positive,good job
Sistin Arief,Senang banget,5,2022-07-29 14:11:57,4.48.1,positive,senang banget
Gio Juansyah,Bagus apk nya,5,2022-12-19 08:29:40,4.58.1,positive,bagus apk
M. Akmalul Ihsan,Mantap paket lengkap,5,2022-04-20 02:02:49,4.40.1,positive,mantap paket lengkap
cutai 78,Good,5,2021-11-30 11:37:59,4.32.1,positive,good
fajar mahargyono,Mantap,5,2022-07-12 12:57:53,4.47.1,positive,mantap
elly sohibah,Bagus,5,2022-03-28 14:30:23,4.36.1,positive,bagus
bang diina sya'roni,Alhamdulillah sngat membantu sekali Mudah2an tambah maju dan sukses buat gojek terutama para driver nya agar lbih disejahterakan lgii yaah,5,2023-01-03 03:16:43,4.58.1,positive,alhamdulillah sngat bantu mudah maju sukses gojek driver lbih sejahtera lgii yaah
Herguesz Gaming,Kenapa gak bisa dibuka,5,2022-02-13 14:29:04,4.37.1,positive,buka
Kustirin Realme,Gojek memang menyenangkan dan sangat membantu,5,2023-09-17 07:18:52,4.72.1,positive,gojek senang bantu
laloe noel,bagus,5,2023-04-13 18:05:40,4.65.2,positive,bagus
Ach Munawar,Mantap,5,2023-08-09 00:48:34,4.72.1,positive,mantap
bputra satria,Server sering gk bisa digunakan terutama di gofood,1,2022-02-08 13:46:54,4.36.1,negative,server gofood
Ivan Ferdiansyah,Gopaypinjam tidak dapat dibuka saya mau lunasin tagihan gopay pinjam jadi susah tlong min dibantu,4,2023-08-11 06:59:45,4.72.1,positive,gopaypinjam buka lunasin tagih gopay pinjam susah tlong min bantu
Yayat Supriyatna,Ok,5,2022-04-29 16:01:03,4.42.2,positive,ok
Eriyana Ku,katanya ada hadiah 80000 buat pengguna baru yg uda selesaikan mission food sebanyak 6xpas uda di selesaikan malah tidak ada dapat apabegini amat ya cari uang,1,2022-04-01 01:37:54,4.39.2,negative,hadiah guna uda selesai mission food xpas uda selesai apabegini cari uang
Mirandaa Gultomm,Keren,5,2022-03-31 22:34:25,4.36.1,positive,keren
Abim,Sudah tidak seperti dulu lagi dulu jadi andalan setiap bayar belanjaan menggunakan gopay sekarang setiap kali minta barcode pas mau bayar selalu jaringan internet hilang Padahal internet dipakai hari hari gak ada masalah,2,2023-06-27 06:51:46,4.69.1,negative,andal bayar belanja gopay barcode pas bayar jaring internet hilang internet pakai
Sri Rahayu,Sangat membantu mohon sering ngadain promo,5,2022-02-20 12:30:43,4.31.1,positive,bantu ngadain promo
Dian Arryanto,Fast respons and delivery,5,2021-12-02 04:58:55,4.32.1,positive,fast respons and delivery
Cece Cece,Bagus di saat kita ga bisa pergi keluar ada gojek yg antar pesanan,5,2022-04-01 07:43:48,4.22.1,positive,bagus pergi gojek pesan
ipunk putra,Kepada PT GM Indonesia tolonglah kapasitas terlalu besar aplikasinya memakan ruang atau memori yg bnyak  Banyak yang mengeluh kalau aplikasinya kebesaran dan berat di buka di hp ram 2 lemot sangat tolong diperhatikan kembali,3,2022-06-14 05:56:35,4.45.1,neutral,pt gm indonesia tolong kapasitas aplikasi makan ruang memori bnyak keluh aplikasi besar berat buka hp ram lot tolong perhati
Heri Yanto,Good,5,2023-02-18 02:47:59,4.60.1,positive,good
Niken Larashaty,Bagus,5,2023-01-01 07:15:51,4.58.1,positive,bagus
Zhe3Dhe3,Untuk GoFood mahal  kurang bersaing promonya terkesan pengen ngeraup sebanyakbanyaknya keuntungan dari customer Untuk goride udah cukup bagus bersaing,2,2023-12-15 15:31:22,4.80.2,negative,gofood mahal saing promonya kes ken ngeraup sebanyakbanyaknya untung customer goride bagus saing
Arifun Wib,Mkin bnyk promo menarik,5,2022-08-11 14:11:07,4.48.1,positive,mkin bnyk promo tarik
H. Effendy,Ok,5,2023-12-17 07:13:44,4.79.2,positive,ok
LUCKY RADITYA PUTRADINDRA,Kekurangan  driver tidak ramah  jika naik motor tidak dikasih helm  harga mahal  dapat nya selalu jauh Mending Maxim aja gojek jelek,1,2023-08-08 07:18:07,4.41.1,negative,kurang driver ramah motor kasih helm harga mahal mending maxim aja gojek jelek
Abdulloh nj,Baikk,5,2023-12-24 12:15:18,4.80.4,positive,baikk
Fadiel Pratama,Sangat terbantu terima kasih,5,2022-01-30 11:10:00,4.29.1,positive,bantu terima kasih
Hendy James,Saat butuh cepat gojek solusinya,5,2023-04-03 15:01:56,4.61.1,positive,butuh cepat gojek solusi
Rachmat Riyadi,Okee,5,2022-09-01 11:46:38,4.50.1,positive,okee
M.B.E Kahfy,Ok,5,2022-06-29 08:56:19,4.38.2,positive,ok
chieya cusnul,Good,5,2023-02-07 10:03:10,4.60.1,positive,good
Ida Rosyida,Bagus,5,2022-08-06 02:23:52,4.48.1,positive,bagus
Ulfa Nisa,Untuk fotongan harga nya bisa ada promo diskon harga baik ongkir dan potongan harga dr gofod nya jdi biar banyak orang yg menggunakan kn aplikasi ini,4,2022-01-25 11:22:51,4.35.1,positive,fotongan harga promo diskon harga ongkir potong harga gofod jdi biar kn aplikasi
Fia Rosantama Br Sitohang,saya mau pesan di aplikasi ini tapi kok gabisa ya katanya yah ada sedikit masalahtenang kami sedang cari solusi nya kokmohon ditunggu ya tapi sudah saya tungguin dan coba lagi kok tetap gabisa yaini gimana nih,1,2023-08-25 09:22:49,4.72.1,negative,pesan aplikasi gabisa yah masalahtenang cari solusi kokmohon tunggu tungguin coba gabisa yaini gimana nih
Agus Slamet,Trimakasih,5,2022-01-15 15:16:07,4.34.1,positive,trimakasih
Khalifah Mesjid,Yeeeeeesssssss,5,2022-06-09 04:51:13,4.43.3,positive,yeeeeeesssssss
Haris Hidayatulloh,ok,5,2021-12-04 08:37:17,4.32.1,positive,ok
Wahyu Setyo Nugroho,Fast respon,5,2023-04-25 07:31:04,4.65.2,positive,fast respon
Scout Channel Kreatif,Sangat membantu dalam memenuhi kebutuhan ,5,2022-02-15 14:16:17,4.36.1,positive,bantu penuh butuh
Ika Siska,Driver gojek tuh pada alay nunggu bentar dikit dicancel Giliran jemput lama bgt,1,2022-02-27 12:21:24,4.36.1,negative,driver gojek tuh alay nunggu bentar dikit dicancel gilir jemput banget
Linggar Ellang,Gopay saya hilang ketika habis update,3,2022-08-04 06:41:46,4.48.1,negative,gopay hilang habis update
Zensuji Sembiring,good,5,2023-05-19 11:22:51,4.66.1,positive,good
dimas oktavian,Saya menghubungi Customer Service tapi Email saya tidak di responrespon,3,2021-11-13 02:43:43,4.31.1,neutral,hubung customer service email responrespon
Delores Restu Ariyani, promo nya banyakin lagi,5,2023-12-11 23:51:17,4.79.2,positive,promo banyakin
Denys Scoot SICK,Pertahankan promo Nya,5,2023-09-17 19:53:58,4.71.2,positive,tahan promo
Ryo,Good,5,2023-08-08 12:35:18,4.71.3,positive,good
KAZEBO BALI,6 kali driver batalin pesanan  Menunggu sampai 1jam lebih  Udah nunggu lama di batalin terus pula,1,2022-12-26 17:17:17,4.58.1,negative,driver batalin pesan tunggu jam nunggu batalin
Zetty Shintia,Keren sih tpi blm sempurna Karna yang sempurna hanya Allah taala,3,2023-03-21 07:29:13,4.63.2,positive,keren sih tpi sempurna karna sempurna allah taala
Dyna Octaviana,dari segi pelayanan dan aplikasi gojek bagusan yg dulu Makin kesini makin mengecewakan bad,4,2022-03-28 16:38:50,4.40.1,positive,segi layan aplikasi gojek bagus kesini kecewa bad
tari vivi,good job,5,2023-10-30 22:44:11,4.77.1,positive,good job
Dzikri Hidayat,Belum ada promo jadi masih pakai yg lain,1,2023-07-26 04:22:48,4.70.1,negative,promo pakai
Rini Azani,Ko error Mulu sih setiap mau pesen gofood sama goride makin gajelas,3,2023-04-13 13:58:42,4.65.2,neutral,ko error mulu sih sen gofood goride gajelas
Hendri Kurniawan,mantab deh,5,2023-12-14 16:33:54,4.79.2,positive,mantab deh
Syahrul X-trek Shaka,kalau jasa apk nya di naikin kualitan pelayanan apk nya naikin woe terutama di alaman,1,2022-03-27 01:39:37,4.40.1,negative,jasa apk naikin alit layan apk naikin woe alam
hinu kontak,Saya pemakai Gojek sangat Lama  tapi akhir akhir ini sering kecewa sama aplikasi terutama Gocar dan Goride nya  nunggu nya terlalu lama Drivernya jauh jauhkmd titik jemput sering geser sendiri  kemudian aplikasi mengganti ganti drivernya sendiri sehingga sebagai penumpang saya menunggu terlalu lama karena diulang ulang nunggu driver,1,2024-01-04 16:24:42,4.68.1,negative,pakai gojek kecewa aplikasi gocar goride nunggu drivernya jauhkmd titik jemput geser aplikasi ganti ganti drivernya tumpang tunggu ulang ulang nunggu driver
Hamidah Nur Wahdaniah,Makin hari makin mahal aja ongkosnya padahal udah lama langganan kirain bakal jadi murah atau banyak voucher ini mh bikin ga jadi loyal mending aplikasi lain,1,2023-10-09 00:20:30,4.73.1,negative,mahal aja ongkos langgan kirain murah voucher mh bikin loyal mending aplikasi
Luqman Jamil,Love,5,2022-03-02 13:38:23,4.38.2,positive,love
Junaidi Juned,Gojek memang yang terbaik,5,2023-02-09 11:47:26,4.60.1,positive,gojek baik
Aris Rachmadi,Gojek Nomer 1seIndonesia Rayaku Yang Lain Aku tdk mau Pokoknya GOJEK Istimewa Rekomend PAKAiLah APK GOJEK SEMUA YG KAMU BUTUHKAN TERATASI SALAM SATU ASPAL GOJEK ,5,2022-07-22 05:35:55,4.45.1,positive,gojek nomer indonesia raya pokok gojek istimewa rekomend pakai apk gojek butuh atas aspal gojek
Mochammad Firman,UX nya kurang bagus,4,2022-06-25 03:50:07,4.40.1,positive,ux bagus
Investasi Pluang,Saya melakukan pembayaran ke pluang namun di gopay transaksi selesai di pluang unpaid atau status berlangsung akhirnya saldo saya tidak masuk di pulang tapi saldo saya di gopay sudah terpotong lalu bagaimana dengan saldo saya yang sudah terpotong di gopay tolong kembalikan uang saya,1,2022-06-18 02:28:15,4.45.1,negative,bayar pluang gopay transaksi selesai pluang unpaid status saldo pulang saldo gopay potong saldo potong gopay tolong kembali uang
Chris Tiofan,Sangat Membantu,5,2021-12-31 12:31:24,4.34.1,positive,bantu
Nike Sofyan,Memudahkan buat kita untuk berpegian,5,2022-09-13 14:58:50,4.48.1,positive,mudah berpegian
Moreno Coco (Babang),Sejauh ini aman dan lancar,5,2022-06-06 10:21:39,4.44.1,positive,aman lancar
retno widayati,ramah,5,2023-10-20 01:11:54,4.77.1,positive,ramah
Milik Mu,Tch aplikasi gojek hanyalah alat,5,2021-12-14 14:32:40,4.18.2,positive,tch aplikasi gojek alat
aRiyon official,Sippol,5,2022-09-27 23:52:32,4.52.2,positive,sippol
Harun Arrosyid,Ok banget dah top bgt,5,2022-09-08 10:22:34,4.50.1,positive,ok banget top banget
Muh Abduh Nasikhin,Josss,5,2022-03-21 06:01:04,4.25.2,positive,josss
Riri Rianti,Bagus banget sangat membantu ku,5,2022-12-25 08:56:18,4.54.2,positive,bagus banget bantu ku
Abhizar Ali,Oke dan mantap,5,2024-01-28 17:09:56,4.81.1,positive,oke mantap
Nengsih Rosiyana,Aplikasi gojek yg bagus,5,2022-04-09 06:54:35,4.40.1,positive,aplikasi gojek bagus
Andil gaming,Sangat memudahkan kami,5,2022-03-05 15:13:57,4.38.2,positive,mudah
Nafisatur Rosyidah,Sebenernya aplikasinya sngt bagus jelas dan mudah dipahami kami para konsumen sangat terbantu dengan fitur yang disediakan apalagi dengan berbagai voucher promo yang tersedia namun sayangnya ketika sy menggunakan voucher untuk goride ataupun gocar sudah dua kali saya mendapatkan driver namun mereka tidak berjalan menuju sy sy chat tdk ada respon seolah2 sengaja untk tdk mengambil pesanan sy Dan ketika sy batalkan karena lama menunggu vouchernya sdh nggak ada jadi terbuang sia voucher sy,3,2023-07-11 02:39:07,4.69.2,neutral,sebenernya aplikasi sngt bagus mudah paham konsumen bantu fitur sedia voucher promo sedia sayang voucher goride gocar driver jalan chat respon sengaja untk ambil pesan batal tunggu vouchernya sdh buang sia voucher
all qirom,Tolonglah masalah lokasi driver di perbaiki  masa jarak driver selalu jauh2 Sedang kan yg dekat adaa,4,2022-01-15 04:51:04,4.6.2,positive,tolong lokasi driver baik jarak driver adaa
Ismail Dongoran,good,5,2022-10-30 05:28:27,4.54.2,positive,good
Diah Oktaviani,Sangat Membantu Love it,5,2022-02-20 04:34:44,4.30.1,positive,bantu love it
Wahyudin wahyu,Mantap,5,2023-07-20 00:01:37,4.58.1,positive,mantap
M.Yoserizal,Mohon maaf kepada pihak gojek saya sebagai customer di sinisaya awalnya ingin memesan gojek ketika pulang dan saya dapat lah gojek tersebut saya cancel dengan alasan ingin naik gojek yang lain tiba datang gojek yg saya cancel dan mengancam dan bilanggausah kau naik gojek lagi tengok lah kauyaudah di sini bagian nya saya kecewa terhadap gojek bisanya mengancam customer apakah seperti ini memperlakukan customer yg nge cancelmohon di jawabpakai mengancam,5,2023-04-06 05:48:55,4.64.2,positive,maaf gojek customer sinisaya mes gojek pulang gojek cancel alas gojek gojek cancel ancam bilanggausah kau gojek tengok kauyaudah kecewa gojek bisa ancam customer laku customer nge cancelmohon jawabpakai ancam
Maria Budiono,Tks untuk pelayanannya meski macet  driver sangat sabar,5,2022-06-10 02:58:09,4.44.1,positive,tks layan macet driver sabar
baim color,Jooos,5,2021-11-07 12:15:43,4.13.1,positive,jooos
gerry septana,Tolong dong diperbaiki lagi kenapa stiap pesan gocar dapet drivernya posisinya jauh penjemputan min 15 menit,1,2022-07-17 03:24:12,4.42.2,negative,tolong baik stiap pesan gocar dapet drivernya posisi jemput min menit
Satria Arung Senja,Mantapp,5,2022-03-22 12:32:43,4.39.2,positive,mantapp
Alex,ok,4,2023-03-07 20:07:56,4.62.1,positive,ok
Habib M Wijaya,Cari driver susah,1,2022-05-02 06:11:20,4.41.1,negative,cari driver susah
Irwan Semedi,Puas,5,2022-10-30 02:09:33,4.53.1,positive,puas
Auvha,Mahal banget ongkir ny mahalan ini dri pada sebelah padahal sama tempatnya,2,2023-06-10 06:01:34,4.68.1,negative,mahal banget ongkir ny mahal dri belah tempat
Sari Yulius,Kenapa tidak bisa dibuka Disuruh tunggu kode via SMS tapi saat kode didapat malah dibilang salah memasukkan kode Saat mau daftar ulang dibilang no hp n email sudah terdaftar Tolong diperbaiki kinerjanya untuk Gojek,5,2023-05-07 03:51:49,4.66.1,positive,buka suruh tunggu kode via sms kode bilang salah masuk kode daftar ulang bilang no hp email daftar tolong baik kerja gojek
Muhammad Fakhruddin,Bantuan untuk penanganan gopay terblokir lama,1,2022-03-30 09:05:27,4.40.1,negative,bantu tangan gopay blokir
Uli Maria,Driver ramah dan sopan,5,2022-06-08 02:49:50,4.39.2,positive,driver ramah sopan
Dedi Joherman,Mantaap pelayannnya,5,2024-01-07 16:02:10,4.80.4,positive,mantaap pelayannnya
Leonardi Yogi Tasiripapari LYT,APK xxxxxxxx H A R A M xxxxxxxxxxxx,1,2023-01-15 05:55:26,4.58.1,negative,apk xxxxxxxx xxxxxxxxxxxx
Ridwan Bauman,Ok ajalah,5,2022-08-06 06:40:08,4.44.1,positive,ok aja
